,Numero,sitios,Zona,especies,iar
174,11,Sitio-1,Perturbada-01,Das_nov,0
175,11,Sitio-1,Perturbada-01,Lyn_ruf,0
176,11,Sitio-1,Perturbada-01,Mep_mac,0
177,11,Sitio-1,Perturbada-01,Nas_nar,0
178,11,Sitio-1,Perturbada-01,Odo_vir,6.1
179,11,Sitio-1,Perturbada-01,Pec_taj,0
180,11,Sitio-1,Perturbada-01,Pro_lot,1.22
181,11,Sitio-1,Perturbada-01,Pum_con,0
182,11,Sitio-1,Perturbada-01,Pum_yag,0
183,11,Sitio-1,Perturbada-01,Spi_put,0
184,11,Sitio-1,Perturbada-01,Syl_flo,8.54
185,11,Sitio-1,Perturbada-01,Uro_cin,1.22
186,11,Sitio-1,Perturbada-01,Leo_par,0
187,11,Sitio-1,Perturbada-01,Pan_onc,0
188,12,Sitio-1,Perturbada-01,Bas_ast,0
189,12,Sitio-1,Perturbada-01,Can_lat,1.2
190,12,Sitio-1,Perturbada-01,Con_mes,3.61
191,12,Sitio-1,Perturbada-01,Das_nov,0
192,12,Sitio-1,Perturbada-01,Lyn_ruf,0
193,12,Sitio-1,Perturbada-01,Mep_mac,4.65
194,12,Sitio-1,Perturbada-01,Nas_nar,0
195,12,Sitio-1,Perturbada-01,Odo_vir,0
196,12,Sitio-1,Perturbada-01,Pec_taj,0
197,12,Sitio-1,Perturbada-01,Pro_lot,0
198,12,Sitio-1,Perturbada-01,Pum_con,0
199,12,Sitio-1,Perturbada-01,Pum_yag,0
200,12,Sitio-1,Perturbada-01,Spi_put,0
201,12,Sitio-1,Perturbada-01,Syl_flo,28.92
202,12,Sitio-1,Perturbada-01,Uro_cin,6.02
203,12,Sitio-1,Perturbada-01,Leo_par,0
204,12,Sitio-1,Perturbada-01,Pan_onc,0
205,13,Sitio-1,Perturbada-01,Bas_ast,0
206,13,Sitio-1,Perturbada-01,Can_lat,0
207,13,Sitio-1,Perturbada-01,Con_mes,3.49
208,13,Sitio-1,Perturbada-01,Das_nov,0
209,13,Sitio-1,Perturbada-01,Lyn_ruf,0
210,13,Sitio-1,Perturbada-01,Mep_mac,5.81
211,13,Sitio-1,Perturbada-01,Nas_nar,0
212,13,Sitio-1,Perturbada-01,Odo_vir,6.98
213,13,Sitio-1,Perturbada-01,Pec_taj,0
214,13,Sitio-1,Perturbada-01,Pro_lot,0
215,13,Sitio-1,Perturbada-01,Pum_con,0
216,13,Sitio-1,Perturbada-01,Pum_yag,0
217,13,Sitio-1,Perturbada-01,Spi_put,0
218,13,Sitio-1,Perturbada-01,Syl_flo,13.95
219,13,Sitio-1,Perturbada-01,Uro_cin,13.95
220,13,Sitio-1,Perturbada-01,Leo_par,0
221,13,Sitio-1,Perturbada-01,Pan_onc,0
222,14,Sitio-1,Perturbada-01,Bas_ast,0
223,14,Sitio-1,Perturbada-01,Can_lat,0
224,14,Sitio-1,Perturbada-01,Con_mes,1.16
225,14,Sitio-1,Perturbada-01,Das_nov,3.33
226,14,Sitio-1,Perturbada-01,Lyn_ruf,0
227,14,Sitio-1,Perturbada-01,Mep_mac,0
228,14,Sitio-1,Perturbada-01,Nas_nar,0
229,14,Sitio-1,Perturbada-01,Odo_vir,4.65
230,14,Sitio-1,Perturbada-01,Pec_taj,0
231,14,Sitio-1,Perturbada-01,Pro_lot,0
232,14,Sitio-1,Perturbada-01,Pum_con,0
233,14,Sitio-1,Perturbada-01,Pum_yag,1.2
234,14,Sitio-1,Perturbada-01,Spi_put,0
235,14,Sitio-1,Perturbada-01,Syl_flo,4.65
236,14,Sitio-1,Perturbada-01,Uro_cin,0
237,14,Sitio-1,Perturbada-01,Leo_par,0
238,14,Sitio-1,Perturbada-01,Pan_onc,0
239,15,Sitio-1,Perturbada-01,Bas_ast,0
240,15,Sitio-1,Perturbada-01,Can_lat,0
241,15,Sitio-1,Perturbada-01,Con_mes,0
242,15,Sitio-1,Perturbada-01,Das_nov,0
243,15,Sitio-1,Perturbada-01,Lyn_ruf,0
244,15,Sitio-1,Perturbada-01,Mep_mac,0
245,15,Sitio-1,Perturbada-01,Nas_nar,0
246,15,Sitio-1,Perturbada-01,Odo_vir,5.81
247,15,Sitio-1,Perturbada-01,Pec_taj,0
248,15,Sitio-1,Perturbada-01,Pro_lot,0
249,15,Sitio-1,Perturbada-01,Pum_con,0
250,15,Sitio-1,Perturbada-01,Pum_yag,1.59
251,15,Sitio-1,Perturbada-01,Spi_put,0
252,15,Sitio-1,Perturbada-01,Syl_flo,6.98
253,15,Sitio-1,Perturbada-01,Uro_cin,10.47
254,15,Sitio-1,Perturbada-01,Leo_par,0
255,15,Sitio-1,Perturbada-01,Pan_onc,0
256,16,Sitio-1,Perturbada-01,Bas_ast,0
257,16,Sitio-1,Perturbada-01,Can_lat,0
258,16,Sitio-1,Perturbada-01,Con_mes,0
259,16,Sitio-1,Perturbada-01,Das_nov,1.54
260,16,Sitio-1,Perturbada-01,Lyn_ruf,0
261,16,Sitio-1,Perturbada-01,Mep_mac,0
262,16,Sitio-1,Perturbada-01,Nas_nar,0
263,16,Sitio-1,Perturbada-01,Odo_vir,6.98
264,16,Sitio-1,Perturbada-01,Pec_taj,0
265,16,Sitio-1,Perturbada-01,Pro_lot,3.17
266,16,Sitio-1,Perturbada-01,Pum_con,0
267,16,Sitio-1,Perturbada-01,Pum_yag,1.2
268,16,Sitio-1,Perturbada-01,Spi_put,0
269,16,Sitio-1,Perturbada-01,Syl_flo,1.16
270,16,Sitio-1,Perturbada-01,Uro_cin,0
271,16,Sitio-1,Perturbada-01,Leo_par,0
272,16,Sitio-1,Perturbada-01,Pan_onc,0
273,17,Sitio-1,Perturbada-01,Bas_ast,1.22
274,17,Sitio-1,Perturbada-01,Can_lat,0
275,17,Sitio-1,Perturbada-01,Con_mes,3.17
276,17,Sitio-1,Perturbada-01,Das_nov,0
277,17,Sitio-1,Perturbada-01,Lyn_ruf,0
278,17,Sitio-1,Perturbada-01,Mep_mac,0
279,17,Sitio-1,Perturbada-01,Nas_nar,0
280,17,Sitio-1,Perturbada-01,Odo_vir,3.17
281,17,Sitio-1,Perturbada-01,Pec_taj,0
282,17,Sitio-1,Perturbada-01,Pro_lot,0
283,17,Sitio-1,Perturbada-01,Pum_con,0
284,17,Sitio-1,Perturbada-01,Pum_yag,0
285,17,Sitio-1,Perturbada-01,Spi_put,0
286,17,Sitio-1,Perturbada-01,Syl_flo,19.05
287,17,Sitio-1,Perturbada-01,Uro_cin,0
288,17,Sitio-1,Perturbada-01,Leo_par,0
289,17,Sitio-1,Perturbada-01,Pan_onc,0
290,18,Sitio-1,Perturbada-01,Bas_ast,3.61
291,18,Sitio-1,Perturbada-01,Can_lat,0
292,18,Sitio-1,Perturbada-01,Con_mes,3.53
293,18,Sitio-1,Perturbada-01,Das_nov,0
294,18,Sitio-1,Perturbada-01,Lyn_ruf,0
295,18,Sitio-1,Perturbada-01,Mep_mac,1.18
296,18,Sitio-1,Perturbada-01,Nas_nar,0
297,18,Sitio-1,Perturbada-01,Odo_vir,0
298,18,Sitio-1,Perturbada-01,Pec_taj,0
299,18,Sitio-1,Perturbada-01,Pro_lot,0
300,18,Sitio-1,Perturbada-01,Pum_con,0
301,18,Sitio-1,Perturbada-01,Pum_yag,0
302,18,Sitio-1,Perturbada-01,Spi_put,0
303,18,Sitio-1,Perturbada-01,Syl_flo,4.71
304,18,Sitio-1,Perturbada-01,Uro_cin,14.12
305,18,Sitio-1,Perturbada-01,Leo_par,0
306,18,Sitio-1,Perturbada-01,Pan_onc,0
307,19,Sitio-1,Perturbada-01,Bas_ast,2.33
308,19,Sitio-1,Perturbada-01,Can_lat,0
309,19,Sitio-1,Perturbada-01,Con_mes,0
310,19,Sitio-1,Perturbada-01,Das_nov,1.16
311,19,Sitio-1,Perturbada-01,Lyn_ruf,0
312,19,Sitio-1,Perturbada-01,Mep_mac,0
313,19,Sitio-1,Perturbada-01,Nas_nar,0
314,19,Sitio-1,Perturbada-01,Odo_vir,12.35
315,19,Sitio-1,Perturbada-01,Pec_taj,0
316,19,Sitio-1,Perturbada-01,Pro_lot,0
317,19,Sitio-1,Perturbada-01,Pum_con,0
318,19,Sitio-1,Perturbada-01,Pum_yag,0
319,19,Sitio-1,Perturbada-01,Spi_put,0
320,19,Sitio-1,Perturbada-01,Syl_flo,1.23
321,19,Sitio-1,Perturbada-01,Uro_cin,0
322,19,Sitio-1,Perturbada-01,Leo_par,0
323,19,Sitio-1,Perturbada-01,Pan_onc,0
324,20,Sitio-1,Perturbada-01,Bas_ast,0
325,20,Sitio-1,Perturbada-01,Can_lat,3.17
326,20,Sitio-1,Perturbada-01,Con_mes,2.33
327,20,Sitio-1,Perturbada-01,Das_nov,0
328,20,Sitio-1,Perturbada-01,Lyn_ruf,0
329,20,Sitio-1,Perturbada-01,Mep_mac,0
330,20,Sitio-1,Perturbada-01,Nas_nar,0
331,20,Sitio-1,Perturbada-01,Odo_vir,3.49
332,20,Sitio-1,Perturbada-01,Pec_taj,0
333,20,Sitio-1,Perturbada-01,Pro_lot,0
334,20,Sitio-1,Perturbada-01,Pum_con,0
335,20,Sitio-1,Perturbada-01,Pum_yag,0
336,20,Sitio-1,Perturbada-01,Spi_put,0
337,20,Sitio-1,Perturbada-01,Syl_flo,5.81
338,20,Sitio-1,Perturbada-01,Uro_cin,5.81
339,20,Sitio-1,Perturbada-01,Leo_par,0
340,20,Sitio-1,Perturbada-01,Pan_onc,0
341,21,Sitio-2,Conservada-02,Bas_ast,1.69
342,21,Sitio-2,Conservada-02,Can_lat,0
343,21,Sitio-2,Conservada-02,Con_mes,0
344,21,Sitio-2,Conservada-02,Das_nov,1.16
345,21,Sitio-2,Conservada-02,Lyn_ruf,1.59
346,21,Sitio-2,Conservada-02,Mep_mac,0
347,21,Sitio-2,Conservada-02,Nas_nar,0
348,21,Sitio-2,Conservada-02,Odo_vir,22.22
349,21,Sitio-2,Conservada-02,Pec_taj,2.44
350,21,Sitio-2,Conservada-02,Pro_lot,0
351,21,Sitio-2,Conservada-02,Pum_con,0
352,21,Sitio-2,Conservada-02,Pum_yag,0
353,21,Sitio-2,Conservada-02,Spi_put,1.16
354,21,Sitio-2,Conservada-02,Syl_flo,26.98
355,21,Sitio-2,Conservada-02,Uro_cin,0
356,21,Sitio-2,Conservada-02,Leo_par,0
357,21,Sitio-2,Conservada-02,Pan_onc,1.22
358,22,Sitio-2,Conservada-02,Bas_ast,1.69
359,22,Sitio-2,Conservada-02,Can_lat,0
360,22,Sitio-2,Conservada-02,Con_mes,0
361,22,Sitio-2,Conservada-02,Das_nov,0
362,22,Sitio-2,Conservada-02,Lyn_ruf,0
363,22,Sitio-2,Conservada-02,Mep_mac,0
364,22,Sitio-2,Conservada-02,Nas_nar,0
365,22,Sitio-2,Conservada-02,Odo_vir,4.69
366,22,Sitio-2,Conservada-02,Pec_taj,3.61
367,22,Sitio-2,Conservada-02,Pro_lot,2.94
368,22,Sitio-2,Conservada-02,Pum_con,0
369,22,Sitio-2,Conservada-02,Pum_yag,0
370,22,Sitio-2,Conservada-02,Spi_put,1.16
371,22,Sitio-2,Conservada-02,Syl_flo,2.41
372,22,Sitio-2,Conservada-02,Uro_cin,1.69
373,22,Sitio-2,Conservada-02,Leo_par,0
374,22,Sitio-2,Conservada-02,Pan_onc,3.61
375,23,Sitio-2,Conservada-02,Bas_ast,0
376,23,Sitio-2,Conservada-02,Can_lat,0
377,23,Sitio-2,Conservada-02,Con_mes,0
378,23,Sitio-2,Conservada-02,Das_nov,3.57
379,23,Sitio-2,Conservada-02,Lyn_ruf,0
380,23,Sitio-2,Conservada-02,Mep_mac,1.2
381,23,Sitio-2,Conservada-02,Nas_nar,0
382,23,Sitio-2,Conservada-02,Odo_vir,1.75
383,23,Sitio-2,Conservada-02,Pec_taj,3.49
384,23,Sitio-2,Conservada-02,Pro_lot,0
385,23,Sitio-2,Conservada-02,Pum_con,0
386,23,Sitio-2,Conservada-02,Pum_yag,0
387,23,Sitio-2,Conservada-02,Spi_put,0
388,23,Sitio-2,Conservada-02,Syl_flo,8.43
389,23,Sitio-2,Conservada-02,Uro_cin,1.75
390,23,Sitio-2,Conservada-02,Leo_par,0
391,23,Sitio-2,Conservada-02,Pan_onc,1.22
392,24,Sitio-2,Conservada-02,Bas_ast,2.27
393,24,Sitio-2,Conservada-02,Can_lat,0
394,24,Sitio-2,Conservada-02,Con_mes,0
395,24,Sitio-2,Conservada-02,Das_nov,0
396,24,Sitio-2,Conservada-02,Lyn_ruf,0
397,24,Sitio-2,Conservada-02,Mep_mac,3.57
398,24,Sitio-2,Conservada-02,Nas_nar,0
399,24,Sitio-2,Conservada-02,Odo_vir,3.51
400,24,Sitio-2,Conservada-02,Pec_taj,1.16
401,24,Sitio-2,Conservada-02,Pro_lot,0
402,24,Sitio-2,Conservada-02,Pum_con,0
403,24,Sitio-2,Conservada-02,Pum_yag,0
404,24,Sitio-2,Conservada-02,Spi_put,1.75
405,24,Sitio-2,Conservada-02,Syl_flo,1.18
406,24,Sitio-2,Conservada-02,Uro_cin,3.51
407,24,Sitio-2,Conservada-02,Leo_par,0
408,24,Sitio-2,Conservada-02,Pan_onc,0
409,25,Sitio-2,Conservada-02,Bas_ast,0
410,25,Sitio-2,Conservada-02,Can_lat,0
411,25,Sitio-2,Conservada-02,Con_mes,0
412,25,Sitio-2,Conservada-02,Das_nov,1.75
413,25,Sitio-2,Conservada-02,Lyn_ruf,0
414,25,Sitio-2,Conservada-02,Mep_mac,0
415,25,Sitio-2,Conservada-02,Nas_nar,1.56
416,25,Sitio-2,Conservada-02,Odo_vir,2.94
417,25,Sitio-2,Conservada-02,Pec_taj,0
418,25,Sitio-2,Conservada-02,Pro_lot,1.59
419,25,Sitio-2,Conservada-02,Pum_con,0
420,25,Sitio-2,Conservada-02,Pum_yag,0
421,25,Sitio-2,Conservada-02,Spi_put,0
422,25,Sitio-2,Conservada-02,Syl_flo,2.94
423,25,Sitio-2,Conservada-02,Uro_cin,1.18
424,25,Sitio-2,Conservada-02,Leo_par,0
425,25,Sitio-2,Conservada-02,Pan_onc,1.22
426,26,Sitio-2,Conservada-02,Bas_ast,4.76
427,26,Sitio-2,Conservada-02,Can_lat,3.51
428,26,Sitio-2,Conservada-02,Con_mes,3.33
429,26,Sitio-2,Conservada-02,Das_nov,1.2
430,26,Sitio-2,Conservada-02,Lyn_ruf,0
431,26,Sitio-2,Conservada-02,Mep_mac,3.17
432,26,Sitio-2,Conservada-02,Nas_nar,0
433,26,Sitio-2,Conservada-02,Odo_vir,4.76
434,26,Sitio-2,Conservada-02,Pec_taj,1.59
435,26,Sitio-2,Conservada-02,Pro_lot,0
436,26,Sitio-2,Conservada-02,Pum_con,0
437,26,Sitio-2,Conservada-02,Pum_yag,0
438,26,Sitio-2,Conservada-02,Spi_put,0
439,26,Sitio-2,Conservada-02,Syl_flo,15.87
440,26,Sitio-2,Conservada-02,Uro_cin,3.17
441,26,Sitio-2,Conservada-02,Leo_par,0
442,26,Sitio-2,Conservada-02,Pan_onc,1.22
443,27,Sitio-2,Conservada-02,Bas_ast,1.18
444,27,Sitio-2,Conservada-02,Can_lat,0
445,27,Sitio-2,Conservada-02,Con_mes,0
446,27,Sitio-2,Conservada-02,Das_nov,3.57
447,27,Sitio-2,Conservada-02,Lyn_ruf,0
448,27,Sitio-2,Conservada-02,Mep_mac,1.2
449,27,Sitio-2,Conservada-02,Nas_nar,2.41
450,27,Sitio-2,Conservada-02,Odo_vir,4.2
451,27,Sitio-2,Conservada-02,Pec_taj,0
452,27,Sitio-2,Conservada-02,Pro_lot,1.22
453,27,Sitio-2,Conservada-02,Pum_con,0
454,27,Sitio-2,Conservada-02,Pum_yag,0
455,27,Sitio-2,Conservada-02,Spi_put,0
456,27,Sitio-2,Conservada-02,Syl_flo,3.17
457,27,Sitio-2,Conservada-02,Uro_cin,1.18
458,27,Sitio-2,Conservada-02,Leo_par,0
459,27,Sitio-2,Conservada-02,Pan_onc,2.33
460,28,Sitio-2,Conservada-02,Bas_ast,0
461,28,Sitio-2,Conservada-02,Can_lat,0
462,28,Sitio-2,Conservada-02,Con_mes,1.59
463,28,Sitio-2,Conservada-02,Das_nov,1.2
464,28,Sitio-2,Conservada-02,Lyn_ruf,4.76
465,28,Sitio-2,Conservada-02,Mep_mac,0
466,28,Sitio-2,Conservada-02,Nas_nar,1.18
467,28,Sitio-2,Conservada-02,Odo_vir,0
468,28,Sitio-2,Conservada-02,Pec_taj,0
469,28,Sitio-2,Conservada-02,Pro_lot,2.33
470,28,Sitio-2,Conservada-02,Pum_con,0
471,28,Sitio-2,Conservada-02,Pum_yag,1.2
472,28,Sitio-2,Conservada-02,Spi_put,1.59
473,28,Sitio-2,Conservada-02,Syl_flo,19.05
474,28,Sitio-2,Conservada-02,Uro_cin,0
475,28,Sitio-2,Conservada-02,Leo_par,8.14
476,28,Sitio-2,Conservada-02,Pan_onc,0
477,29,Sitio-2,Conservada-02,Bas_ast,1.18
478,29,Sitio-2,Conservada-02,Can_lat,0
479,29,Sitio-2,Conservada-02,Con_mes,3.51
480,29,Sitio-2,Conservada-02,Das_nov,0
481,29,Sitio-2,Conservada-02,Lyn_ruf,1.18
482,29,Sitio-2,Conservada-02,Mep_mac,1.18
483,29,Sitio-2,Conservada-02,Nas_nar,0
484,29,Sitio-2,Conservada-02,Odo_vir,9.52
485,29,Sitio-2,Conservada-02,Pec_taj,0
486,29,Sitio-2,Conservada-02,Pro_lot,0
487,29,Sitio-2,Conservada-02,Pum_con,0
488,29,Sitio-2,Conservada-02,Pum_yag,1.18
489,29,Sitio-2,Conservada-02,Spi_put,0
490,29,Sitio-2,Conservada-02,Syl_flo,22.22
491,29,Sitio-2,Conservada-02,Uro_cin,0
492,29,Sitio-2,Conservada-02,Leo_par,6.98
493,29,Sitio-2,Conservada-02,Pan_onc,0
