Longitud	Latitud
-104.086088	22.27503
-104.086088	23.358364
-104.127755	23.441697
-104.211088	23.316697
-104.211088	23.441697
-104.252755	23.358364
-104.252755	23.40003
-104.252755	23.441697
-104.419422	24.316698
-104.461088	22.65003
-104.586088	23.191697
-104.752755	23.733364
-104.836089	24.816698
-104.877755	24.816698
-105.127755	23.816697
-105.211089	23.858364
-105.294422	23.733364
-105.461089	25.525032
-105.502756	26.4417
-105.627756	26.483366
-105.669423	26.483366
-105.794423	25.941699
-105.919423	25.900032
-105.961089	25.900032
-105.961089	25.941699
-106.294423	28.775035
-106.377756	27.650034
-106.544423	26.8167
-106.83609	27.650034
-106.877757	27.733367
-106.919424	29.483369
-107.08609	26.8167
-107.544424	27.608367
-107.627757	27.733367
-107.627757	28.691701
-107.752758	27.816701
-107.919424	27.858367
-107.919424	28.691701
-107.919424	30.358369
-107.961091	30.358369
-107.961091	30.400036
-108.336091	26.6917
-108.377758	27.275034
-108.669425	26.900033
-108.794425	31.191703
-108.836092	27.691701
-108.877758	27.775034
-108.919425	27.025033
-108.961092	29.483369
-108.961092	29.775036
-109.002759	31.275037
-109.169425	29.400035
-109.169425	31.275037
-109.294425	31.066703
-109.586092	27.0667
-109.669426	27.025033
-110.294426	31.23337
-110.586093	28.691701
-110.836093	30.775036
-110.919427	29.483369
-110.961093	29.066702
-111.169427	29.025035
-112.044428	28.941702
-112.669428	29.900036
-102.877754	22.608363
-103.669421	22.858363
-104.169421	23.650031
-104.294421	22.983363
-104.377755	23.40003
-104.544422	23.066697
-104.919422	26.233366
-105.336089	23.816697
-105.627756	26.525033
-106.044423	25.941699
-106.21109	26.316699
-106.377756	26.483366
-106.544423	26.5667
-106.71109	29.525035
-106.752757	29.483369
-106.83609	27.025033
-106.83609	27.691701
-106.83609	29.441702
-106.919424	29.400035
-107.127757	27.233367
-107.502757	27.483367
-108.044424	28.775035
-108.169425	26.8167
-108.252758	26.8167
-108.336091	30.566703
-108.377758	26.900033
-108.419425	29.900036
-108.419425	29.983369
-108.419425	30.025036
-108.586092	30.775036
-109.002759	28.358368
-109.919426	28.608368
-110.002759	29.275035
-110.002759	31.275037
-110.086093	27.5667
-110.086093	29.150035
-110.25276	29.816702
-110.836093	30.900036
-110.919427	30.775036
-111.086094	29.858369
-112.461095	29.983369
-108.711092	26.900033
-108.711092	26.983367
-103.627754	25.733366
-107.544424	25.358365
-107.752758	25.525032
-108.461091	25.358365
-108.836092	26.775033
-108.919425	26.8167
-109.044425	26.900033
-108.544425	26.4417
-102.54442	22.27503
-102.586087	21.025029
-102.586087	22.191696
-102.66942	22.066696
-102.961087	21.400029
-103.627754	21.483362
-103.669421	20.900028
-103.794421	21.816696
-103.836088	20.858362
-103.961088	21.858363
-104.586088	22.566696
-105.336089	28.066701
-105.586089	28.566701
-106.377756	29.816702
-112.752762	30.73337
-113.377762	31.858371
-102.66942	21.775029
-103.086087	21.691696
-104.627755	26.8167
-112.836095	31.858371
-103.711088	20.858362
-103.877754	20.775028
-104.752755	22.483363
-99.127751	23.02503
-99.169417	23.066697
-100.419418	25.233365
-100.419418	25.316699
-100.586085	25.441699
-100.627752	25.441699
-99.752751	24.025031
-100.252752	24.858365
-103.669421	24.650031
-103.627754	24.650031
-103.711088	24.650031
-103.711088	24.733365
-103.127754	25.358365
-103.294421	25.483365
-103.336087	25.358365
-103.627754	25.441699
-101.086086	21.816696
-101.127752	21.858363
-101.294419	25.525032
-100.086085	24.816698
-100.294418	22.858363
-100.461085	22.52503
-100.461085	25.358365
-100.502752	22.608363
-100.627752	23.858364
-100.711085	23.816697
-100.877752	25.316699
-100.961085	25.025032
-101.044419	24.150031
-99.752751	23.566697
-99.752751	23.983364
-99.794418	22.52503
-101.252752	22.858363
-99.419418	23.941698
-99.502751	22.483363
-99.586084	24.441698
-101.419419	25.316699
-101.461086	25.358365
-102.086086	21.775029
-102.377753	22.233363
-101.669419	21.941696
-102.04442	25.358365
-99.419418	22.108363
-101.419419	25.566699
-99.502751	17.566692
-99.669418	17.566692
-99.461084	17.358359
-100.044418	21.483362
-100.086085	21.483362
-100.127751	21.483362
-99.836085	21.400029
-100.461085	18.066693
-98.12775	20.108361
-97.836083	20.400028
-97.919416	17.066692
-99.711084	17.525026
-100.461085	17.941693
-100.586085	20.900028
-98.25275	19.858361
-98.544417	20.150028
-98.87775	18.900027
-98.919417	18.525027
-98.961084	19.10836
-99.086084	19.566694
-99.127751	19.150027
-99.169417	19.10836
-99.294417	19.275027
-99.294417	19.316694
-99.294417	19.358361
-99.336084	19.23336
-99.377751	19.275027
-98.87775	18.566693
-98.961084	18.48336
-98.961084	18.85836
-99.086084	19.025027
-99.127751	19.10836
-99.169417	19.025027
-99.252751	19.025027
-99.294417	19.10836
-99.336084	19.066694
-99.544418	18.900027
